,trial,movie,cell,frame,cell_area,cv_area,cell_centroid_r,cell_centroid_c,cv_centroid_r,cv_centroid_c,cell_speed,vel_dx,vel_dy,cv_dx,cv_dy,cv_angle
0,1,0,1,49,35632,1588,1126.1560114503816,1059.3421362819938,1052.294,1055.52,4.890707377162055,-0.21154991077818264,-0.9773671957098533,-0.0516778395030465,0.9986638077472806,-2.8767312943221013
1,1,0,1,120,36388,1483,1282.9633945256678,1061.5614488292845,1212.358,1033.806,3.3676960060415744,0.46483512908032854,-0.8853972570393892,-0.3658535118538852,0.930672449288244,3.0326939922307674
2,1,0,1,178,37185,1254,1408.6622293935727,997.8260320021514,1338.985,996.403,0.711377693306341,-0.793593720009672,-0.6084480319314134,-0.020418942156051355,0.9997915116669213,-2.2044794664520073
3,1,0,1,231,38261,1251,1504.686861294791,963.1434881471995,1437.073,935.253,3.803134669147757,0.5618771189162816,-0.827220710112083,-0.38132823982771147,0.9244397078825095,2.9361720868858368
4,1,0,1,293,39079,1433,1556.8559072647713,834.2652831443999,1495.203,861.857,1.2565048238486567,-0.548841801789087,-0.8359262387369526,0.40849130412717,0.9127622113412034,-2.9814151330110095
5,1,1,1,32,36299,1392,1132.540014876443,1099.398082591807,1129.16,1055.152,2.413953857427485,0.997962233260312,-0.06380737407299077,-0.9970948948519613,0.0761693551249865,3.1292002035972124
6,1,1,1,93,36286,2085,1168.049881496996,1190.2311910929834,1148.5,1164.747,1.2138451587815255,0.9992442474865368,0.03887073275698492,-0.7934259026641921,0.6086668522118744,2.4483328621476126
7,1,1,1,162,36391,2009,1214.833530268473,1256.4575856667857,1166.442,1223.227,1.4689694707024645,0.8432000711250484,-0.5375998884437323,-0.5660823330890712,0.8243487078684808,2.7401300309157306
8,1,1,1,226,36458,2177,1269.2354490098196,1327.211723078611,1200.705,1302.326,1.4647448268404113,0.35378875124694004,-0.935325354885203,-0.3413258245866769,0.9399450417286241,3.1283009776819424
9,1,1,1,283,36345,2048,1320.5079928463338,1392.6950337047738,1245.008,1370.206,1.5071965011902917,0.9034961371498385,-0.42859623208250497,-0.28547278720475644,0.9583868153128714,2.3032345310971967
10,1,2,1.0,45,32346,1119,1338.803839732888,794.3142583317875,1313.516,832.813,1.9641453272631548,-0.14299058097260364,0.9897240492951139,0.8358183871354207,0.549006032504511,-1.1331041598660512
11,1,2,1.0,91,32236,1360,1236.2340240724657,785.7628738056831,1264.324,824.799,1.6763995039283297,0.24026933501729303,0.9707062617755937,0.8116924140506812,-0.5840851179173951,-1.9519054933670825
12,1,2,1.0,142,32489,970,1121.1399242820646,855.2613807750315,1189.997,854.224,2.063320151813909,0.3954459032232379,0.9184892691936893,-0.015064001109162273,-0.9998865314977411,-2.750103949523142
13,1,2,1.0,183,33035,940,1033.898168609051,913.2338126229756,1111.851,899.811,2.872945070671512,0.7657240372746541,0.6431692613455684,-0.1696941388053276,-0.9854967779019465,-2.439945641032961
14,1,2,7.0,237,46768,833,821.9505003421143,1030.475902326377,981.109,996.094,,,,-0.21115239766378416,-0.9774531523100405,
15,1,2,20.0,287,31264,810,738.5104912998977,1142.4208674513818,823.979,1107.075,3.5836707354222477,0.7357905729316688,0.67720914995656,-0.38216335221677045,-0.9240947853020492,-2.706895529865228
